,Industry,Open_rate,Click_rate
0,Aerospace & Defense,35.32564093571353,0.02104303300249009
1,Agency,4.278466280131797,0.14750524654700903
2,Automotive,44.53334138905413,6.810027513384891
3,Banks,24.231318237103235,1.5210725223018478
4,Chemicals,3.974793989335919,0.290838584585555
5,Communications Equipment,0.0,0.0
6,Consumer Discretionary,23.574756164521276,3.487728706105764
7,Consumer Goods,23.75178217550717,1.857295389404032
8,Consumer Staples,17.561180585715217,1.8841805883059841
9,Diversified Financial Services,16.659349323446676,2.36582372486299
10,Education Services,22.809070463871688,3.69698044556091
11,Food Products,0.0,0.0
12,Gas Utilities,21.162845352845576,1.6831552434172337
13,Health Care Providers & Services,18.07828673565197,1.1714890640180027
14,Healthcare,16.41913621998155,1.008821329041141
15,"Hotels, Restaurants & Leisure",22.718927068304737,1.5738551253408741
16,Household Durables,68.65792831458067,4.307311603448943
17,IT Services,14.595162460291652,0.357687786087696
18,Influencer,49.72506603729349,3.191359664890042
19,Internet Personality,18.493127897059964,1.2019920684887453
20,Internet Software & Services,16.21490474898838,1.284883108436892
21,Manufacturing,26.298758465178285,3.5255440668124116
22,Media,16.651671627944246,2.184121494612632
23,Media/Publishing,12.275253189682498,0.6431155504001395
24,Non-Profit,30.311237417110398,1.337957469827989
25,Professional Services,12.830567133895766,0.7528794780235268
26,Publisher,15.991107039886836,1.3369077573648114
27,Real Estate,22.63991833889978,1.1755538836844768
28,Recreation,30.712789199798348,0.6612863044062637
29,Retail,12.066797832967069,0.5987952446541568
30,Retailing,22.064710507736056,1.4989683349354768
31,"Textiles, Apparel & Luxury Goods",16.932928559325365,2.0351223256691173
32,eCommerce,16.285196192587303,1.0095927130592968
33,not_lablelled,13.917177639635101,1.173420985371452
34,Global,13.276845851426081,1.092255757336921
